18:51:44 INFO  application.ApplicationManager - Start in browser CHROME
18:51:51 INFO  application.MyListener - The element By.xpath: //*[.='LOGIN'] was found
18:51:51 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:51:51 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:51:51 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:51:51 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:51:52 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:51:52 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:51:52 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:51:52 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:51:52 INFO  TestBase - Login with Email: 12345@asd.com; Password: aA1234567$;
18:51:52 INFO  application.MyListener - Start finde element by --> By.xpath: //button[text()=' Login']
18:51:52 INFO  application.MyListener - The element By.xpath: //button[text()=' Login'] was found
18:51:52 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:51:52 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:51:52 INFO  TestBase - Test passed
18:51:52 INFO  TestBase - End of test loginTestDP_CSV
18:51:52 INFO  TestBase - Start test loginTestDP_CSV
18:51:52 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:51:52 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:51:52 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:51:52 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:51:52 INFO  application.MyListener - Start finde element by --> By.xpath: //*[.='LOGIN']
18:51:52 INFO  application.MyListener - The element By.xpath: //*[.='LOGIN'] was found
18:51:52 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:51:52 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:51:52 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:51:52 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:51:53 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:51:53 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:51:53 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:51:53 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:51:53 INFO  TestBase - Login with Email: noa@gmail.com; Password: Nnoa12345$;
18:51:53 INFO  application.MyListener - Start finde element by --> By.xpath: //button[text()=' Login']
18:51:53 INFO  application.MyListener - The element By.xpath: //button[text()=' Login'] was found
18:51:53 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:51:53 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:51:53 INFO  TestBase - Test passed
18:51:53 INFO  TestBase - End of test loginTestDP_CSV
18:51:53 INFO  TestBase - Start test loginTestDP_CSV
18:51:53 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:51:53 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:51:53 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:51:53 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:51:53 INFO  application.MyListener - Start finde element by --> By.xpath: //*[.='LOGIN']
18:51:53 INFO  application.MyListener - The element By.xpath: //*[.='LOGIN'] was found
18:51:53 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:51:53 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:51:53 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:51:53 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:51:53 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:51:53 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:51:53 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:51:53 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:51:54 INFO  TestBase - Login with Email: sonya@gmail.com; Password: Ss12345$;
18:51:54 INFO  application.MyListener - Start finde element by --> By.xpath: //button[text()=' Login']
18:51:54 INFO  application.MyListener - The element By.xpath: //button[text()=' Login'] was found
18:51:54 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:51:54 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:51:54 INFO  TestBase - Test passed
18:51:54 INFO  TestBase - End of test loginTestDP_CSV
18:51:54 INFO  TestBase - Start test loginTestDataProviderClass
18:51:54 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:51:54 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:51:54 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:51:54 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:51:54 INFO  application.MyListener - Start finde element by --> By.xpath: //*[.='LOGIN']
18:51:54 INFO  application.MyListener - The element By.xpath: //*[.='LOGIN'] was found
18:51:54 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:51:54 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:51:54 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:51:54 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:51:54 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:51:54 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:51:54 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:51:54 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:51:55 INFO  TestBase - Login with Email: 12345@asd.com; Password: aA1234567$;
18:51:55 INFO  application.MyListener - Start finde element by --> By.xpath: //button[text()=' Login']
18:51:55 INFO  application.MyListener - The element By.xpath: //button[text()=' Login'] was found
18:51:55 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:51:55 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:51:55 INFO  TestBase - Test passed
18:51:55 INFO  TestBase - End of test loginTestDataProviderClass
18:51:55 INFO  TestBase - Start test loginTestDataProviderClass
18:51:55 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:51:55 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:51:55 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:51:55 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:51:55 INFO  application.MyListener - Start finde element by --> By.xpath: //*[.='LOGIN']
18:51:55 INFO  application.MyListener - The element By.xpath: //*[.='LOGIN'] was found
18:51:55 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:51:55 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:51:55 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:51:55 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:51:55 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:51:55 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:51:55 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:51:55 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:51:55 INFO  TestBase - Login with Email: noa@gmail.com; Password: Nnoa12345$;
18:51:55 INFO  application.MyListener - Start finde element by --> By.xpath: //button[text()=' Login']
18:51:55 INFO  application.MyListener - The element By.xpath: //button[text()=' Login'] was found
18:51:56 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:51:56 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:51:56 INFO  TestBase - Test passed
18:51:56 INFO  TestBase - End of test loginTestDataProviderClass
18:51:56 INFO  TestBase - Start test loginTestDataProviderClass
18:51:56 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:51:56 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:51:56 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:51:56 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:51:56 INFO  application.MyListener - Start finde element by --> By.xpath: //*[.='LOGIN']
18:51:56 INFO  application.MyListener - The element By.xpath: //*[.='LOGIN'] was found
18:51:56 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:51:56 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:51:56 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:51:56 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:51:56 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:51:56 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:51:56 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:51:56 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:51:56 INFO  TestBase - Login with Email: sonya@gmail.com; Password: Ss12345$;
18:51:56 INFO  application.MyListener - Start finde element by --> By.xpath: //button[text()=' Login']
18:51:56 INFO  application.MyListener - The element By.xpath: //button[text()=' Login'] was found
18:51:56 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:51:57 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:51:57 INFO  TestBase - Test passed
18:51:57 INFO  TestBase - End of test loginTestDataProviderClass
18:51:57 INFO  TestBase - Start test loginTestWithWrongPassword
18:51:57 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:51:57 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:51:57 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:51:57 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:51:57 INFO  application.MyListener - Start finde element by --> By.xpath: //*[.='LOGIN']
18:51:57 INFO  application.MyListener - The element By.xpath: //*[.='LOGIN'] was found
18:51:57 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:51:57 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:51:57 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:51:57 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:51:57 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:51:57 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:51:57 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:51:57 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:51:57 INFO  TestBase - Login with Email: 12345@asd.com; Password: aA1234567;
18:51:57 INFO  application.MyListener - Start finde element by --> By.xpath: //button[text()=' Login']
18:51:57 INFO  application.MyListener - The element By.xpath: //button[text()=' Login'] was found
18:51:58 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:52:01 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:52:01 INFO  TestBase - Test passed
18:52:01 INFO  TestBase - End of test loginTestWithWrongPassword
18:52:01 INFO  TestBase - Start test quickTest
18:52:01 INFO  TestBase - End of test quickTest
18:52:01 INFO  TestBase - Start test smokeTest
18:52:01 INFO  TestBase - End of test smokeTest
